cfd
"property([postcode] -> [town],(M18 7GA||Manchester))"
"property([street_name] -> [town],(Longley Lane||Manchester))"
"property([postcode] -> [town],(M16 9HQ||Manchester))"
"property([postcode] -> [town],(M8 8HQ||Manchester))"
"property([postcode] -> [street_name],(M1 3LF||Portland Street))"
"property([street_name] -> [town],(Saxel Close||Bampton))"
"property([street_name, town] -> [postcode],(Kansas Avenue, Manchester||M50 2GL))"
"property([street_name] -> [town],(Foliat Drive||Wantage))"
"property([postcode] -> [town],(M33 7HH||Sale))"
"property([street_name] -> [postcode],(Brightside Road||M8 5XJ))"
"property([postcode] -> [street_name],(M13 0NW||Birch Lane))"
"property([street_name] -> [town],(Douglas Road||Manchester))"
"property([street_name] -> [town],(Highfield Road||Manchester))"
"property([postcode] -> [town],(OX2 9PU||Oxford))"
"property([street_name] -> [town],(Crawley Road||Witney))"
"property([street_name] -> [town],(Edge Lane||Manchester))"
"property([postcode] -> [town],(OX4 1JP||Oxford))"
"property([street_name] -> [town],(Quay Street||Manchester))"
"property([postcode] -> [town],(M8 8FQ||Manchester))"
"property([street_name] -> [town],(Davyhulme Road||Manchester))"
"property([street_name] -> [town],(Mauldeth Road||Manchester))"
"property([postcode] -> [town],(OX28 1AG||Witney))"
"property([postcode] -> [town],(M3 2HW||Manchester))"
"property([street_name] -> [town],(Elizabeth Street||Manchester))"
"property([street_name] -> [town],(Castle Hill Road||Manchester))"
"property([postcode] -> [street_name],(M44 5BG||Liverpool Road))"
"property([postcode] -> [town],(OX2 9QF||Oxford))"
"property([street_name] -> [town],(Larch Lane||Witney))"
"property([postcode] -> [town],(M20 6FJ||Manchester))"
"property([postcode] -> [street_name],(OX28 1AG||Larch Lane))"
"property([postcode] -> [street_name],(M13 0PD||Hamilton Road))"
"property([street_name] -> [town],(Wilkinson Place||Witney))"
"property([postcode] -> [street_name],(OX2 9PU||Norreys Road))"
"property([postcode] -> [street_name],(M28 7UL||Newearth Road))"
"property([street_name] -> [town],(Wigan Road||Manchester))"
"property([postcode] -> [town],(M20 6RE||Manchester))"
"property([street_name] -> [town],(Moston Lane||Manchester))"
"property([postcode] -> [town],(M34 3RP||Manchester))"
"property([postcode] -> [town],(M4 1HN||Manchester))"
"property([street_name] -> [town],(Parsonage||Manchester))"
"property([street_name] -> [town],(Chambrai Close||Abingdon))"
"property([postcode] -> [town],(M25 9JY||Manchester))"
"property([street_name] -> [postcode],(Robinson Road||OX1 5LE))"
"property([street_name] -> [town],(Princess Street||Manchester))"
"property([postcode] -> [street_name],(M1 2HX||Piccadilly))"
"property([postcode] -> [street_name],(M16 0LN||Seymour Grove))"
"property([postcode] -> [town],(OX3 9LR||Oxford))"
"property([street_name] -> [town],(Stillwater Drive||Manchester))"
"property([postcode] -> [town],(OX33 1JH||Oxford))"
"property([postcode] -> [town],(M8 8ES||Manchester))"
"property([postcode] -> [town],(OX26 4UL||Bicester))"
"property([postcode] -> [town],(M2 3HZ||Manchester))"
"property([postcode] -> [town],(M23 1AB||Manchester))"
"property([postcode] -> [street_name],(M19 3QD||Cromwell Grove))"
"property([postcode] -> [street_name],(M11 4TG||Stillwater Drive))"
"property([postcode] -> [town],(OX17 3LD||Banbury))"
"property([postcode] -> [town],(M30 9AN||Manchester))"
"property([street_name] -> [town],(Tib Street||Manchester))"
"property([street_name] -> [town],(Foscote Rise||Banbury))"
"property([postcode] -> [town],(OX4 1PE||Oxford))"
"property([street_name] -> [postcode],(Everside Drive||M8 8ES))"
"property([postcode] -> [town],(M18 7JD||Manchester))"
"property([postcode] -> [town],(M33 4NT||Sale))"
"property([postcode] -> [street_name],(M12 5SG||Longden Road))"
"property([street_name] -> [postcode],(Ashmead Road||OX16 1AA))"
"property([street_name] -> [town],(Wilbraham Road||Manchester))"
"property([postcode] -> [town],(M14 5TP||Manchester))"
"property([postcode] -> [town],(M27 6SL||Manchester))"
"property([postcode] -> [street_name],(M8 5AU||Whiston Road))"
"property([street_name] -> [town],(Newearth Road||Manchester))"
"property([postcode] -> [town],(OX39 4TJ||Chinnor))"
"property([postcode] -> [town],(M32 0FP||Manchester))"
"property([postcode] -> [street_name],(M34 3RP||Elizabeth Street))"
"property([postcode] -> [street_name],(M3 7BE||Trinity Way))"
"property([postcode] -> [street_name],(OX2 0LR||Westminster Way))"
"property([postcode] -> [street_name],(OX2 7JL||South Parade))"
"property([postcode] -> [street_name],(M1 2HG||Dale Street))"
"property([postcode] -> [town],(OX4 7LH||Oxford))"
"property([postcode] -> [street_name],(M32 0JF||South Lonsdale Street))"
"property([street_name] -> [postcode],(Parkin Street||M12 5RL))"
"property([street_name] -> [town],(Ashton New Road||Manchester))"
"property([postcode] -> [town],(M1 6HT||Manchester))"
"property([street_name] -> [town],(Belgrave Avenue||Manchester))"
"property([postcode] -> [street_name],(M1 5AN||Oxford Street))"
"property([postcode] -> [town],(M34 3QS||Manchester))"
"property([postcode] -> [street_name],(OX5 1JE||Bankside))"
"property([postcode] -> [town],(OX26 4LD||Bicester))"
"property([postcode] -> [street_name],(M15 4JE||Chester Road))"
"property([postcode] -> [street_name],(M15 5FE||Hunmanby Avenue))"
"property([postcode] -> [street_name],(M20 6RE||Wilmslow Road))"
"property([postcode] -> [street_name],(M20 6UG||Wilmslow Road))"
"property([postcode] -> [street_name],(M20 6FA||Austin Drive))"
"property([postcode] -> [town],(M8 8BJ||Manchester))"
"property([postcode] -> [street_name],(OX18 4SG||Priory Lane))"
"property([street_name] -> [town],(Delaunays Road||Manchester))"
"property([street_name] -> [town],(Manchester New Road||Manchester))"
"property([street_name] -> [postcode],(Deene Close||OX17 3LD))"
"property([postcode] -> [street_name],(M14 5DL||Belgrave Avenue))"
"property([postcode] -> [street_name],(M6 8PA||Claremont Road))"
"property([postcode] -> [street_name],(M5 3EZ||Modwen Road))"
"property([postcode] -> [street_name],(M30 9AN||Victoria Crescent))"
"property([postcode] -> [street_name],(M24 2TW||Glenwood Drive))"
"property([postcode] -> [street_name],(OX18 4QF||High Street))"
"property([street_name] -> [town],(Whitworth Street||Manchester))"
"property([street_name] -> [town],(Wedgwood Road||Bicester))"
"property([street_name] -> [town],(Platt Lane||Manchester))"
"property([postcode] -> [street_name],(M19 3FL||Lonsdale Road))"
"property([street_name] -> [town],(Thorney Leys||Witney))"
"property([postcode] -> [town],(OX26 3EH||Bicester))"
"property([town, street_name] -> [postcode],(Kidlington, Bankside||OX5 1JE))"
