street_address_raw,town_raw,postcode,price,price_raw,nth_of_type_2,details_box_nth_of_type_2,bedroom_number,details_box_nth_of_type_8,link_href,id
str,str,str,int,int,str,str,int,str,str,int
"Ordsall Lane, Salford, M5 4TD","Ordsall Lane, Salford, M5 4TD",M5 4TD,"137,495
        PCM  
        
        
        
        
        
        
          
         Deposit: 824970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,2 bedroom(s),36.30 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=747",201
"Chapel Street, Salford, M3 5DW","Chapel Street, Salford, M3 5DW",M3 5DW,"189,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 1139700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold STC,Sold STC,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=782",202
"Homestead Road, Stockport, SK12 2JN","Homestead Road, Stockport, SK12 2JN",SK12 2JN,"675,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 4050000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),152.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=759",203
"South Drive, Manchester, M21 8DY","South Drive, Manchester, M21 8DY",M21 8DY,"549,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 3299700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,House,3 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=786",205
"B6, Manchester, M1 5BY","B6, Manchester, M1 5BY",M1 5BY,"950,000
        PCM  
        
        
        
        
        
        
          
         Deposit: 5700000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),320.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=784",206
"Sefton Street, Liverpool, L8 5RS","Sefton Street, Liverpool, L8 5RS",L8 5RS,"109,950
        PCM  
        
        
        
        
        
        
          
         Deposit: 659700 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,1 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=731",207
"Adelphi Street, Salford, M3 6EN","Adelphi Street, Salford, M3 6EN",M3 6EN,"174,995
        PCM  
        
        
        
        
        
        
          
         Deposit: 1049970 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",Sold,Sold,Apartment,3 bedroom(s),85.10 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=713",208
"Media City UK, Salford, M50 2BA","Media City UK, Salford, M50 2BA",M50 2BA,"178,500
        PCM  
        
        
        
        
        
        
          
         Deposit: 1071000 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",For sale,For sale,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=797",211
"Pilgrims Way, Salford, M50 1AU","Pilgrims Way, Salford, M50 1AU",M50 1AU,"695.00
        PCM  
        
        
        
        
        
        
          
         Deposit: 4170 - admin fee is 360 (inc. VAT)  (Other Fees Apply)",To let,To let,Apartment,2 bedroom(s),0.00 sqm approx.,"http://search.theestateagentmanchester.gnomen.co.uk/property-search~action=detail,pid=515",212
