street_address_raw,postcode,town_raw,price,price_raw,col_sm_4,listing_enquiry_tel,trcontainsstatus,trcontainsstyle,bedroom_number,nth_of_type,id
str,str,str,int,int,str,str,str,str,int,str,int
"Hazelwood Road,
						Wythenshawe,",M22 0AD,"Manchester,","149,950",Offers Around,Belvoir Cheadle,0161 485 4778,For sale,Terrace House,2,2,22
"Withington Road,
						Chorlton,",M21 0YA,"Manchester,","575,000",Guide Price,Belvoir Cheadle,0161 485 4778,For sale,Detached House,5,"Brief Description
		A property with the WOW factor
This exceptional detached five bedroomed property in Chorlton must be viewed to appreciate the detail that has been added by the vendor which includes white oak woodwork throughout",25
"Range Road,
						Whalley Range,",M16 8FS,"Manchester,","180,000",Guide Price,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2,"Brief Description
		Belvoir are pleased to market this TOP FLOOR APARTMENT in the heart of Whalley Range. The property is to the rear so has views of what Whalley Range is well known forLush Greenery.",27
"Manchester Road,
						Old Trafford,",M16 0DZ,"Manchester,","195,000",Prices From,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2,"Brief Description
		A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester.",28
"Manchester Road,
						Old Trafford,",M16 0DZ,"Manchester,","195,000",Prices From,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2,"Brief Description
		A new and exclusive development close to the centre of Chorlton-Cum-Hardy in South Manchester.",29
"Strathmore Avenue,
						Old Trafford,",M16 0BU,"Manchester,","465,000",Offers Around,Belvoir Cheadle,0161 485 4778,For sale,Detached House,4,"Additional Information
		A great four bedroom detached family home in Old Trafford and a few minutes walk into Chorlton with its great variety of restaurants and bars.
The property is situated at the head of a quiet cul de sac which is tree lined. There is ample off road parking for 2 cars.
In brief the property comprises of a porch, entrance hall , large lounge / dining room, a great sized kitchen, a morning room and small conservatory. The property also benefits from a downstairs wet room.
To the first floor there are four bedrooms and family bathroom, there are stairs to loft space which is ideal for conversion ( subject to planning).
Outside the gardens wrap around three sides and there is parking for 2 cars and a detached garage ( currently a utility room).
A viewing is must to appreciate the size and location of this property.",32
"Ayres Road,",M16 9NH,"Old trafford,","240,000",Guide Price,Belvoir Cheadle,0161 485 4778,For sale,Town House,4,"Brief Description
		To all investors this property is ideal for refurbishment and comes complete with a shop unit which can be transferred back into the main dwelling. Set over three floors this property would suit many a potential buyer.

Situated in the heart of Old Trafford and close to major road links into Manchester City Centre and beyond.",34
"Barton Road,Stretford,",M13 0RH,"Manchester,","100,000",Offers Around,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2,"Brief Description
		This ground floor, two double bedroom apartment with parking close to local schools and amenities including Media City / Salford Quays.",26
"Cotton Square,
						Blossom Street ,",M13 0RH,"Manchester,","380,825",Asking Price,Belvoir Manchester Central,0161 236 4441,For sale,Town House,3,"Brief Description
		The Jacquard at Cotton Square offers a spacious three bedroom, three bathroom townhouse fusing a light and airy feel with cool industrial design, in a development of just 23 homes in the heart of Ancoats, Manchesters most dynamic and developing area. Help to Buy available

Special features /USPs
Roof top terrace
Gas central heating
New home
Cotton Square is an exciting development of 23 apartments and townhouses in the heart of Ancoats, Manchesters most dynamic and developing area. Help to Buy available",30
"Warwick Road,",M21 0AU,"Chorlton,","425,000",Guide Price,Belvoir Cheadle,0161 485 4778,For sale,End-Terrace House,3,"Brief Description
		 Investment Potential

This period Victorian property is currently converted into three apartments which are currently tenanted. Situated in the heart of Chorlton and close to the Metrolink at Morrisons on Wilbraham Road. With Chorlton having a great vibe and many local shops, eateries and bars this property is perfect for many investors.",36
"Chorlton Villas,
						Hardy Lane,",M21 8DN,"Chorlton Cum Hardy,","385,000",Asking Price,Belvoir Manchester Chorlton,0161 861 7520,For sale,Town House,3,"Brief Description
		If youre looking for stylish, creative and cool living, in a light, spacious environment with energy efficient features, then step up to Chorlton Villas in the heart of Bohemian Manchester.

Last chanceshow homeavailable for occupancy Spring 2017

Experience urban living with a difference..",37
"Chorlton Villas,
						Hardy Lane,",M21 8DN,"Chorlton Cum Hardy,","375,000",Asking Price,Belvoir Manchester Chorlton,0161 861 7520,For sale,Town House,3,"Brief Description
		If youre looking for stylish, creative and cool living, in a light, spacious environment with energy efficient features, then step up to Chorlton Villas in the heart of Bohemian Manchester.

New releasethree bedroom two bathroom townhouse

Experience urban living with a difference..",38
"Pepper Close,
						Sharston,",M22 4JZ,"Manchester,","125,000",Offers Around,Belvoir Cheadle,0161 485 4778,For sale,Apartment,2,"Brief Description
		Delightful brand new, stylish, top floor apartment offering well presented flexible and secure accommodation.

The apartment is situated on the edge of Gatley village, known for its pubs and restaurants yet still within close proximity of the vibrant cosmopolitan city centre of Manchester.",40
"Linen Quarter,
						Denmark Road,",M15 6AZ,"Manchester,","147,500",Guide Price,Belvoir Manchester Central,0161 236 4441,For sale,Apartment,2,"Brief Description
		Belvoir are pleased to present a range of 2 bedroom apartments starting at 142,500 in an extremely popular student location.",41
