bedroom_number,street_address_raw,price,sect_keyfeatures,sect,requestdetails_p_a,id,url,price_raw,postcode,town_raw
int,str,int,str,str,str,int,str,int,str,str
1 bedroom flat share to rent,#NAME?,£395 pcm,No summary available.,,Call: 0161 468 0016,774,http://www.rightmove.co.uk/property-to-rent/Manchester.html?radius=0.25&index=150,e to rent,M14 6HZ,Manchester
Terraced house for sale,"Holborn Avenue, Manchester","£3,000,000 ","ATTENTION INVESTORS A fantastic portfolio of 30 properties consisting of 27 Houses, just 2 apartments/flats and 1 office/commercial building. With a fantastic diverse portfolio of residential properties (just 1 commercial property) from 1 bed to 4 bed producing an annual income of £188,700.00. ...",,Call: 0161 468 0382,9,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=10, for sale,M8 8US,Manchester
45 bedroom residential development for sale,"Wellington Road, Manchester, Greater Manchester, M14","Offers in Region of £3,325,000",45 Bedroom Property portfolio for sale9 x 5 Bed HMO properties,,Call: 0161 468 0617,15,http://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=REGION%5E904&insId=1&radius=0.25&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false, for sale,M30 0DR,Manchester
8 bedroom detached house for sale,"Stenner Brow, Stenner Lane, Didsbury, Manchester, Greater Manchester",POA,"STENNER BROW IS ONE OF DIDSBURY'S FINEST PRIVATE RESIDENCES, BUILT IN 1927 AND EXTENDED IN 2006 OCCUPYING AN ELEVATED POSITION WITHIN BEAUTIFUL GARDENS EXTENDING TO 1.3 ACRES WITH SPECTACULAR OPEN VIEWS OVER FLETCHER MOSS PARK AND SIMON FIELDS. OFFERING COMPLETE PRIVACY AND A RURAL FEEL. 3509 SQ ...",,Call: 0161 468 0407,21,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=20, for sale,M20 2RQ,Manchester
5 bedroom detached house for sale,"Ringley Park, Whitefield, Manchester","Offers in Region of £1,800,000","Located at the head of Ringley Park just off Ringley Road is one of Whitefield's finest homes in a tucked away position in the heart of Whitefield within easy reach of motorway and rail connections, backing onto Stand Golf Course. The property is available with early completion and has a stunning...",,Call: 01706 566081,57,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=50, for sale,M45 7NT,Manchester
3 bedroom apartment for sale,"Great Northern Tower 20th Floor, Central, Manchester",POA,"The Great Northern Tower, Manchester's landmark development, is centrally located but set back from the hustle and bustle of Deansgate. Nearby amenities include the 5 Star Radisson Edwardian Hotel (next door) and the Hilton Tower - providing luxury gym, spa and treatments. There are endless optio...",,Call: 0161 468 0802,70,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=60, for sale,M3 4LP,Manchester
8 bedroom detached house for sale,"Shrewsbury House  at Shrewsbury Wood, Shrewsbury Road,
Prestwich,
Manchester,
M25","£1,500,000 ","Shrewsbury House, set in 0.5 acre of LANDSCAPED gardens, is an exquisite eight bedroom Victorian residence with a floor area of 5,738sq ft arranged over four floors and sympathetically restored to an unparalleled level of luxury, making this one of the most PRESTIGIOUS residences in North Manchester",,Call: 07762 415766,97,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=80, for sale,M43 7WH,Manchester
6 bedroom detached house for sale,"Haddon Road, Worsley, Manchester, Greater Manchester",POA,"Built in 1910, Dunelm is a truly outstanding detached home that is individual in every way. This stunning property is constructed of brick and part rendered elevations which sit beneath a tiled roof. (contd...)",,Call: 0161 468 0367,105,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=90, for sale,M21 7QU,Manchester
6 bedroom detached house for sale,"Elm Road, Didsbury, Manchester","Guide Price £1,400,000","An imposing and magnificent Victorian detached residence, standing within stunning well tendered gardens, situated within the exclusive Blackburn Park conservation area on one of Didsbury's highly regarded tree lined roads. In brief the accommodation comprises; grand reception hall, living room a...",,Call: 0161 468 1354,108,http://www.rightmove.co.uk/property-for-sale/Manchester.html?radius=0.25&index=90, for sale,M20 6XD,Manchester
