provenance,postcode,price,street_name,bedroom_number,crimerank
rightmove_49,M2 4WU,575,"King Street, Manchester, M2",3,9783
rightmove_112,M2 2JG,575,"Brown Street, Manchester, M2",1,9783
belvoir_180,M13 0RH,675,"Longfield Centre,						Prestwich,",3,1470
belvoir_182,M13 0RH,675,"Blossom Street,",3,1470
oxlets_36,OX28 6GA,750.00,Corn Street,3,7389
oxlets_35,OX28 6BS,695.00,Corn Street,2,7389
onthemarket_1,M3 1NN,234950,Tempus Tower,2,1467
onthemarket_2,M3 4BB,462500,Potato Wharf,2,23205
onthemarket_3,M1 5ND,289950,Whitworth Street West,2,4783
onthemarket_4,M1 5WG,250000,The Hacienda,2,4783
onthemarket_5,M1 5NG,329950,W3,3,4783
onthemarket_6,M4 1HP,462500,Icon 25,2,34
onthemarket_7,M1 5DD,182500,W3 Building,2,4783
belvoir_68,M1 5DD,3500,"Whitworth Street West,",3,4783
onthemarket_8,M1 5BY,197500,MacIntosh Mills,2,2461
agent_4,M1 5BY,109950,"B6, Manchester, M1 5BY",1,2461
agent_14,M1 5BY,nan,"3 Cambridge Street, Manchester, M1 5BY",nan,2461
onthemarket_9,M1 5NP,182500,The Green Building,2,2461
onthemarket_10,M15 4TL,175000,The Nile,2,3182
zoopla_13,M15 4TL,229950,"The Rhine, 32 City Road East, Manchester, Greater Manchester M15",2,3182
onthemarket_11,M1 2JN,399950,Navigation House 20 Ducie Street,2,1245
onthemarket_12,M3 3AT,285000,Leftbank,2,9783
onthemarket_13,M3 3AA,209950,2,1,9783
onthemarket_14,M3 3HF,13000,Leftbank,0,9783
onthemarket_15,M1 7DP,165000,Parking Space,2,2892
onthemarket_16,M3 4JJ,182500,Woollam Place,2,23205
onthemarket_17,M15 4QE,185000,The Nile,2,796
onthemarket_18,M1 2JQ,193500,Navigation House 20 Ducie Street,2,1245
onthemarket_19,M3 4AN,153000,Rossetti Place,1,23205
onthemarket_20,M3 4AP,179500,2 Rossetti Place Lower Byrom Street,2,23205
onthemarket_21,M3 4NJ,145000,2 Southern Street,1,796
onthemarket_22,M1 3DA,129950,Aytoun Street,1,708
belvoir_65,M1 3DA,1100,"The Grand,						Aytoun Street,",3,708
onthemarket_23,M4 1PE,92500,City Lofts,1,9783
belvoir_20,M4 1PE,79000,"Church Street,",2,9783
onthemarket_24,M1 5QJ,127950,Quadrangle,1,209
onthemarket_25,M1 7AB,123999,Velvet Court,1,209
onthemarket_26,M1 7BD,125000,Charles Street,1,2461
onthemarket_27,M1 1FT,159950,The Wentwood,2,708
onthemarket_28,M4 1ED,164950,Icon 25,2,9783
onthemarket_29,M4 1HQ,174950,Icon 25,2,34
onthemarket_30,M4 1FS,1350,Icon 25,2,753
onthemarket_31,M3 4EP,1400,Great Northern Tower,2,4783
