provenance,postcode,price,street_name,bedroom_number,crimerank
agent_10,M1 1EA,875.00,Lever Street,2,708
rightmove_10,M1 1EA,nan,Lever Street,3,708
belvoir_180,M13 0RH,675,York Street,3,1470
belvoir_182,M13 0RH,675,Dickinson Street,3,1470
belvoir_90,M1 2NP,375,Great Ancoats Street,1,7263
rightmove_109,M1 2WX,2200,Portugal Street East,2,7263
onthemarket_1,M1 1AH,234950,Tempus Tower,2,1245
belvoir_1,M1 1AH,180000,Warwick Street,2,1245
agent_1,M1 1AH,675000,Warwick Street,2,1245
rightmove_1,M1 1AH,3325,"Holborn Avenue, Manchester",45,1245
zoopla_1,M1 1AH,139995,Warwick Street,1,1245
jpknight_1,M1 1AH,950000,Warwick Street,1934,1245
onthemarket_2,M1 1BA,462500,Dale Street,2,1245
belvoir_2,M1 1BA,195000,Dale Street,2,1245
rightmove_2,M1 1BA,nan,Dale Street,8,1245
zoopla_2,M1 1BA,149995,Dale Street,1,1245
cotswoldlettings_2,M1 1BA,1395,Dale Street,5,1245
jpknight_2,M1 1BA,785000,Dale Street,0,1245
onthemarket_3,M1 1BE,289950,Faraday Street,2,708
belvoir_3,M1 1BE,195000,Faraday Street,2,708
rightmove_3,M1 1BE,1800,Faraday Street,5,708
jpknight_3,M1 1BE,1295,Faraday Street,1920,708
onthemarket_4,M1 1BY,250000,The Hacienda,2,708
belvoir_4,M1 1BY,465000,Lever Street,4,708
agent_4,M1 1BY,109950,"B6, Manchester, M1 5BY",1,708
rightmove_4,M1 1BY,nan,Lever Street,3,708
cotswoldlettings_4,M1 1BY,575,Lever Street,1,708
onthemarket_5,M1 1DB,329950,W3,3,708
belvoir_5,M1 1DB,240000,Stevenson Square,4,708
rightmove_5,M1 1DB,1500,"Great Northern Tower 20th Floor, Central, Manchester",8,708
cotswoldlettings_5,M1 1DB,800,Stevenson Square,2,708
oxlets_5,M1 1DB,825.00,Stevenson Square,2,708
onthemarket_6,M1 1DF,462500,Icon 25,2,1245
belvoir_6,M1 1DF,100000,Spear Street,2,1245
agent_6,M1 1DF,178500,Spear Street,2,1245
rightmove_6,M1 1DF,nan,Spear Street,6,1245
zoopla_6,M1 1DF,202500,Spear Street,2,1245
cotswoldlettings_6,M1 1DF,550,Spear Street,1,1245
onthemarket_7,M1 1DN,182500,W3 Building,2,708
rightmove_7,M1 1DN,1400,Stevenson Square,6,708
zoopla_7,M1 1DN,125000,Stevenson Square,2,708
onthemarket_8,M1 1DW,197500,MacIntosh Mills,2,708
agent_8,M1 1DW,695.00,Lever Street,2,708
rightmove_8,M1 1DW,1300,Lever Street,nan,708
onthemarket_9,M1 1DZ,182500,Lever Street,2,708
belvoir_9,M1 1DZ,385000,Lever Street,3,708
agent_9,M1 1DZ,595.00,Lever Street,1,708
rightmove_9,M1 1DZ,1295,Lever Street,5,708
cotswoldlettings_9,M1 1DZ,600,Lever Street,1,708
onthemarket_10,M1 1EA,175000,The Nile,2,708
belvoir_10,M1 1EA,375000,Lever Street,3,708
zoopla_10,M1 1EA,140000,Lever Street,1,708
cotswoldlettings_10,M1 1EA,750,Lever Street,2,708
jpknight_10,M1 1EA,699950,Lever Street,1,708
onthemarket_11,M1 1EB,399950,Houldsworth Street,2,1245
belvoir_11,M1 1EB,125000,Houldsworth Street,2,1245
rightmove_11,M1 1EB,1295,"Great Northern Tower 20th Floor, Central, Manchester",5,1245
jpknight_11,M1 1EB,775000,Houldsworth Street,2,1245
oxlets_11,M1 1EB,995.00,Houldsworth Street,3,1245
onthemarket_12,M1 1ED,285000,Leftbank,2,708
belvoir_12,M1 1ED,147500,Newton Street,2,708
agent_12,M1 1ED,995.00,Newton Street,3,708
zoopla_12,M1 1ED,190000,"Asia House, Manchester, Greater Manchester M1",2,708
jpknight_12,M1 1ED,899950,Newton Street,3,708
oxlets_12,M1 1ED,840.00,Newton Street,2,708
onthemarket_13,M1 1EE,209950,2,1,1245
agent_13,M1 1EE,895.00,Newton Street,1,1245
rightmove_13,M1 1EE,1250,Newton Street,7,1245
zoopla_13,M1 1EE,229950,Newton Street,2,1245
jpknight_13,M1 1EE,785000,Newton Street,4,1245
oxlets_13,M1 1EE,825.00,Newton Street,2,1245
onthemarket_14,M1 1EF,13000,Leftbank,0,1245
belvoir_14,M1 1EF,112000,"Houldsworth Street, Great Ancoats Street",2,1245
agent_14,M1 1EF,nan,"Houldsworth Street, Great Ancoats Street",nan,1245
rightmove_14,M1 1EF,nan,"Houldsworth Street, Great Ancoats Street",nan,1245
rightmove_15,M1 1EF,1195,Newton Street,5,1245
zoopla_14,M1 1EF,250000,"Houldsworth Street, Great Ancoats Street",1,1245
zoopla_15,M1 1EF,119995,Newton Street,1,1245
jpknight_14,M1 1EF,680000,"Houldsworth Street, Great Ancoats Street",5,1245
oxlets_15,M1 1EF,895.00,"Houldsworth Street, Great Ancoats Street",2,1245
onthemarket_15,M1 7DP,165000,Parking Space,2,2892
onthemarket_16,M1 1EH,182500,Bradley Street,2,1245
belvoir_16,M1 1EH,125000,Bradley Street,2,1245
rightmove_16,M1 1EH,1200,Bradley Street,5,1245
oxlets_16,M1 1EH,895.00,Bradley Street,2,1245
onthemarket_17,M1 1EJ,185000,The Nile,2,1245
belvoir_17,M1 1EJ,110000,Houldsworth Street,2,1245
rightmove_17,M1 1EJ,1200,Houldsworth Street,7,1245
cotswoldlettings_17,M1 1EJ,875,Norton Park,31,1245
oxlets_17,M1 1EJ,950.00,Houldsworth Street,2,1245
onthemarket_18,M1 1EL,193500,Hilton Street,2,708
rightmove_18,M1 1EL,1200,Hilton Street,4,708
onthemarket_19,M1 1ER,153000,Rossetti Place,1,1245
rightmove_19,M1 1ER,1191,Newton Street,5,1245
oxlets_19,M1 1ER,595.00,Newton Street,1,1245
onthemarket_20,M1 1ET,179500,Newton Street,2,708
belvoir_20,M1 1ET,79000,Newton Street,2,708
rightmove_20,M1 1ET,995000,Newton Street,5,708
cotswoldlettings_20,M1 1ET,1275,Newton Street,2,708
jpknight_20,M1 1ET,675000,Newton Street,11,708
onthemarket_21,M1 1EU,145000,Newton Street,1,1245
rightmove_21,M1 1EU,1000,Newton Street,6,1245
jpknight_21,M1 1EU,550000,Newton Street,12,1245
oxlets_21,M1 1EU,825.00,Newton Street,2,1245
onthemarket_22,M1 1EW,129950,Newton Street,1,1245
cotswoldlettings_22,M1 1EW,1775,Newton Street,4,1245
jpknight_22,M1 1EW,539950,Newton Street,13,1245
oxlets_22,M1 1EW,695.00,Newton Street,2,1245
onthemarket_23,M1 1EX,92500,City Lofts,1,1245
belvoir_23,M1 1EX,86000,Newton Street,182,1245
rightmove_23,M1 1EX,1000,Newton Street,6,1245
onthemarket_24,M1 1EY,127950,Quadrangle,1,708
belvoir_24,M1 1EY,675,Dale Street,2,708
oxlets_24,M1 1EY,895.00,Dale Street,3,708
onthemarket_25,M1 1EZ,123999,Velvet Court,1,708
cotswoldlettings_25,M1 1EZ,1395,Dale Street,5,708
jpknight_25,M1 1EZ,565000,Dale Street,16,708
oxlets_25,M1 1EZ,895.00,Dale Street,3,708
onthemarket_26,M1 1FB,125000,Stevenson Square,1,708
belvoir_26,M1 1FB,200000,Stevenson Square,2,708
jpknight_26,M1 1FB,599950,Stevenson Square,17,708
oxlets_26,M1 1FB,675.00,Stevenson Square,2,708
onthemarket_27,M1 1FJ,159950,The Wentwood,2,1245
rightmove_27,M1 1FJ,995000,Lever Street,4,1245
onthemarket_28,M1 1FL,164950,Icon 25,2,1245
belvoir_28,M1 1FL,210000,Lever Street,2,1245
rightmove_28,M1 1FL,995000,Lever Street,19,1245
oxlets_28,M1 1FL,695.00,Lever Street,2,1245
onthemarket_29,M1 1FN,174950,Icon 25,2,708
belvoir_29,M1 1FN,210000,Lever Street,2,708
onthemarket_30,M1 1FR,1350,Icon 25,2,708
onthemarket_31,M1 1FR,1400,Great Northern Tower,2,708
belvoir_30,M1 1FR,210000,Hilton Street,2,708
belvoir_31,M1 1FR,79500,"Stevenson Square, Hilton Street",2,708
rightmove_30,M1 1FR,999000,Hilton Street,5,708
rightmove_31,M1 1FR,950000,"Stevenson Square, Hilton Street",5,708
jpknight_31,M1 1FR,475000,"Stevenson Square, Hilton Street",4,708
onthemarket_32,M1 1FT,1600,Great Northern Tower,2,708
rightmove_32,M1 1FT,960000,Newton Street,6,708
onthemarket_33,M1 1FY,2250,Dale Street,3,708
belvoir_33,M1 1FY,585,Dale Street,1,708
rightmove_33,M1 1FY,925000,Dale Street,4,708
jpknight_33,M1 1FY,625000,Dale Street,1,708
onthemarket_34,M1 1FZ,125000,Whitworth House,1,708
rightmove_34,M1 1FZ,925000,Newton Street,4,708
onthemarket_35,M1 1HR,1650,Little Lever Street,2,708
onthemarket_36,M1 1HR,1395,Beetham Tower,2,708
belvoir_35,M1 1HR,125000,Little Lever Street,2,708
belvoir_36,M1 1HR,160000,Lever Street,2,708
rightmove_35,M1 1HR,950000,Little Lever Street,6,708
rightmove_36,M1 1HR,925000,Lever Street,5,708
jpknight_36,M1 1HR,599950,Lever Street,0,708
oxlets_35,M1 1HR,695.00,Little Lever Street,2,708
onthemarket_37,M1 1JA,1495,Beetham Tower,2,1245
belvoir_37,M1 1JA,995,Dale Street,3,1245
rightmove_37,M1 1JA,927000,Dale Street,5,1245
onthemarket_38,M1 1JF,1395,The Edge,2,1245
belvoir_38,M1 1JF,695,Hilton Street,1,1245
rightmove_38,M1 1JF,930000,Hilton Street,nan,1245
