provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_90,M1 2NP,375,Great Ancoats Street,1,7263.0
rightmove_107,M20 6RX,995,"Ventnor Road, Didsbury, Manchester, M20 6RX",2,13551.0
belvoir_180,M13 0RH,675,York Street,3,1470.0
belvoir_182,M13 0RH,675,Dickinson Street,3,1470.0
agent_9,M1 1DZ,595.00,Lever Street,1,708.0
rightmove_8,M1 1DW,1300,Lever Street,nan,708.0
onthemarket_1,M1 1AH,234950,Tempus Tower,2,1245.0
onthemarket_2,M1 1BA,462500,Dale Street,2,1245.0
onthemarket_3,M1 1BE,289950,Faraday Street,2,708.0
onthemarket_4,M1 1BY,250000,The Hacienda,2,708.0
onthemarket_5,M1 1DB,329950,W3,3,708.0
onthemarket_6,M1 1DF,462500,Icon 25,2,1245.0
onthemarket_7,M1 1DN,182500,W3 Building,2,708.0
onthemarket_8,M1 1DW,197500,MacIntosh Mills,2,708.0
onthemarket_9,M1 1DZ,182500,Lever Street,2,708.0
onthemarket_10,M1 1EA,175000,The Nile,2,708.0
onthemarket_11,M1 1EB,399950,Houldsworth Street,2,1245.0
onthemarket_12,M1 1ED,285000,Leftbank,2,708.0
onthemarket_13,M1 1EE,209950,2,1,1245.0
onthemarket_14,M1 1EF,13000,Leftbank,0,1245.0
onthemarket_15,M1 7DP,165000,Parking Space,2,2892.0
onthemarket_16,M1 1EH,182500,Bradley Street,2,1245.0
onthemarket_17,M1 1EJ,185000,The Nile,2,1245.0
onthemarket_18,M1 1EL,193500,Hilton Street,2,708.0
onthemarket_19,M1 1ER,153000,Rossetti Place,1,1245.0
onthemarket_20,M1 1ET,179500,Newton Street,2,708.0
onthemarket_21,M1 1EU,145000,Newton Street,1,1245.0
onthemarket_22,M1 1EW,129950,Newton Street,1,1245.0
onthemarket_23,M1 1EX,92500,City Lofts,1,1245.0
onthemarket_24,M1 1EY,127950,Quadrangle,1,708.0
onthemarket_25,M1 1EZ,123999,Velvet Court,1,708.0
onthemarket_26,M1 1FB,125000,Stevenson Square,1,708.0
onthemarket_27,M1 1FJ,159950,The Wentwood,2,1245.0
onthemarket_28,M1 1FL,164950,Icon 25,2,1245.0
onthemarket_29,M1 1FN,174950,Icon 25,2,708.0
onthemarket_30,M1 1FR,1350,Icon 25,2,708.0
onthemarket_31,M1 1FR,1400,Great Northern Tower,2,708.0
onthemarket_32,M1 1FT,1600,Great Northern Tower,2,708.0
onthemarket_33,M1 1FY,2250,Dale Street,3,708.0
onthemarket_34,M1 1FZ,125000,Whitworth House,1,708.0
onthemarket_35,M1 1HR,1650,Little Lever Street,2,708.0
onthemarket_36,M1 1HR,1395,Beetham Tower,2,708.0
onthemarket_37,M1 1JA,1495,Beetham Tower,2,1245.0
onthemarket_38,M1 1JF,1395,The Edge,2,1245.0
onthemarket_39,M1 1JG,20000,The Hub,2,34.0
onthemarket_40,M1 1JJ,2850,Parking Spaces,2,1245.0
onthemarket_41,M1 1JL,2200,Hilton Street,2,1245.0
onthemarket_42,M1 1JN,1795,Oldham Street,2,1245.0
onthemarket_43,M1 1JQ,1225,Leftbank,1,708.0
onthemarket_44,M8 0LA,240000,Jewel House,3,1589.0
onthemarket_45,M1 1JU,134950,Quantum,1,708.0
onthemarket_46,M1 1LN,1595,Tempus Tower,2,708.0
onthemarket_47,M1 1LQ,1400,Great Northern Tower,2,708.0
onthemarket_48,M1 1LW,1300,Great Northern Tower,3,708.0
onthemarket_49,M1 2AN,nan,Tempus Tower,nan,708.0
,,,,,
belvoir_1,M1 1AH,180000,Warwick Street,2,1245.0
belvoir_2,M1 1BA,195000,Dale Street,2,1245.0
belvoir_3,M1 1BE,195000,Faraday Street,2,708.0
belvoir_4,M1 1BY,465000,Lever Street,4,708.0
belvoir_5,M1 1DB,240000,Stevenson Square,4,708.0
belvoir_6,M1 1DF,100000,Spear Street,2,1245.0
belvoir_7,M13 0RH,380825,Stevenson Square,3,1470.0
belvoir_8,M13 0RH,425000,Lever Street,3,1470.0
belvoir_9,M1 1DZ,385000,Lever Street,3,708.0
belvoir_10,M1 1EA,375000,Lever Street,3,708.0
belvoir_11,M1 1EB,125000,Houldsworth Street,2,1245.0
belvoir_12,M1 1ED,147500,Newton Street,2,708.0
belvoir_13,M15 6AZ,200000,Newton Street,2,1755.0
belvoir_14,M1 1EF,112000,"Houldsworth Street, Great Ancoats Street",2,1245.0
belvoir_15,M9 7HQ,259995,"Freshfields,
						Spindletree Ave,",2,11291.0
belvoir_16,M1 1EH,125000,Bradley Street,2,1245.0
belvoir_17,M1 1EJ,110000,Houldsworth Street,2,1245.0
belvoir_18,M21 7WH,169950,"Maitland Avenue,
						Chorlton,",2,5107.0
belvoir_19,M13 0RH,395000,Newton Street,2,1470.0
belvoir_20,M1 1ET,79000,Newton Street,2,708.0
belvoir_21,M43 7SP,140000,"Holly Bank,",2,
belvoir_22,M4 4BJ,48500,Newton Street,1,753.0
belvoir_23,M1 1EX,86000,Newton Street,182,1245.0
belvoir_24,M1 1EY,675,Dale Street,2,708.0
belvoir_25,M16 8HA,115000,Dale Street,1,14965.0
belvoir_26,M1 1FB,200000,Stevenson Square,2,708.0
belvoir_27,M1 5TF,265000,"The Foundry,
						Lower Chatham Street,",2,2461.0
belvoir_28,M1 1FL,210000,Lever Street,2,1245.0
belvoir_29,M1 1FN,210000,Lever Street,2,708.0
belvoir_30,M1 1FR,210000,Hilton Street,2,708.0
belvoir_31,M1 1FR,79500,"Stevenson Square, Hilton Street",2,708.0
belvoir_32,M35 0AX,99950,Newton Street,2,
belvoir_33,M1 1FY,585,Dale Street,1,708.0
belvoir_34,M14 5BB,110000,Newton Street,2,5904.0
belvoir_35,M1 1HR,125000,Little Lever Street,2,708.0
belvoir_36,M1 1HR,160000,Lever Street,2,708.0
belvoir_37,M1 1JA,995,Dale Street,3,1245.0
belvoir_38,M1 1JF,695,Hilton Street,1,1245.0
belvoir_39,M1 1JG,725,"Chaseley Field Mansions,						21 Chasley Road,",3,34.0
