provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_61,M13 0RH,750,"34 Navigation Street,",1,1470
belvoir_195,M13 0RH,495,Whitworth Street,2,1470
onthemarket_0,M3 1DY,179950,Houldsworth Street,2,1467
onthemarket_1,M3 1NN,225000,Tempus Tower,2,1467
onthemarket_2,M3 4BB,234950,Dale Street,2,23205
onthemarket_3,M1 5ND,462500,Faraday Street,2,4783
onthemarket_4,M1 5WG,289950,The Hacienda,2,4783
onthemarket_5,M1 5NG,250000,W3,2,4783
onthemarket_6,M4 1HP,329950,Icon 25,3,34
onthemarket_7,M1 5DD,462500,W3 Building,2,4783
belvoir_68,M1 5DD,2700,Lever Street,2,4783
onthemarket_8,M1 5BY,182500,MacIntosh Mills,2,2461
agent_4,M1 5BY,950000,"B6, Manchester, M1 5BY",2,2461
agent_14,M1 5BY,895,Houldsworth Street,1,2461
onthemarket_9,M1 5NP,197500,Newton Street,2,2461
onthemarket_10,M15 4TL,182500,The Nile,2,3182
zoopla_13,M15 4TL,190000,"Houldsworth Street, Great Ancoats Street",2,3182
onthemarket_11,M1 2JN,175000,Newton Street,2,1245
onthemarket_12,M3 3AT,399950,Leftbank,2,9783
onthemarket_13,M3 3AA,285000,2,2,9783
onthemarket_14,M3 3HF,209950,Leftbank,1,9783
onthemarket_15,M1 7DP,13000,Parking Space,0,2892
onthemarket_16,M3 4JJ,165000,Newton Street,2,23205
onthemarket_17,M15 4QE,182500,The Nile,2,796
onthemarket_18,M1 2JQ,185000,Newton Street,2,1245
onthemarket_19,M3 4AN,193500,Rossetti Place,2,23205
onthemarket_20,M3 4AP,153000,Dale Street,1,23205
onthemarket_21,M3 4NJ,179500,Dale Street,2,796
onthemarket_22,M1 3DA,145000,Stevenson Square,1,708
belvoir_65,M1 3DA,1200,Lever Street,2,708
onthemarket_23,M4 1PE,129950,City Lofts,1,9783
belvoir_20,M4 1PE,395000,Lever Street,2,9783
onthemarket_24,M1 5QJ,92500,Quadrangle,1,209
onthemarket_25,M1 7AB,127950,Velvet Court,1,209
onthemarket_26,M1 7BD,123999,Newton Street,1,2461
onthemarket_27,M1 1FT,125000,The Wentwood,1,708
onthemarket_28,M4 1ED,159950,Icon 25,2,9783
onthemarket_29,M4 1HQ,164950,Icon 25,2,34
onthemarket_30,M4 1FS,174950,Icon 25,2,753
onthemarket_31,M3 4EP,1350,Great Northern Tower,2,4783
rightmove_11,M3 4EP,nan,"Great Northern Tower 20th Floor, Central, Manchester",3,4783
onthemarket_32,M3 4EH,1400,Great Northern Tower,2,4783
onthemarket_33,M1 5BD,1600,Hilton Street,2,4783
belvoir_72,M1 5BD,1200,Hilton Street,2,4783
onthemarket_34,M1 5WQ,2250,Whitworth House,3,12168
belvoir_16,M1 5WQ,259995,Oldham Street,2,12168
belvoir_157,M1 5WQ,nan," More Landlords Required!!!!,",183,12168
onthemarket_35,M2 4AD,125000,Spear Street,1,9783
onthemarket_36,M3 2BW,1650,Beetham Tower,2,9783
rightmove_93,M3 2BW,995,Piccadilly,2,9783
onthemarket_37,M3 4LY,1395,Beetham Tower,2,15184
onthemarket_39,M1 3DB,1395,The Hub,2,708
onthemarket_40,M3 4NA,20000,Parking Spaces,2,15184
onthemarket_41,M2 4WU,2850,Piccadilly,2,9783
rightmove_49,M2 4WU,nan,Chapeltown Street,nan,9783
onthemarket_42,M2 4LQ,2200,Jutland Street,2,9783
rightmove_52,M2 4LQ,nan,Chapeltown Street,nan,9783
onthemarket_43,M3 3BZ,1795,Leftbank,2,9783
onthemarket_44,M8 0LA,1225,Jewel House,1,1589
onthemarket_45,M1 2WH,240000,Quantum,3,7263
onthemarket_46,M3 1PJ,134950,Tempus Tower,1,1467
onthemarket_47,M3 4LP,1595,Great Northern Tower,2,4783
rightmove_5,M3 4LP,nan,"Great Northern Tower 20th Floor, Central, Manchester",3,4783
onthemarket_48,M3 4EF,1400,Great Northern Tower,2,4783
onthemarket_49,M3 1NG,1300,Tempus Tower,3,1467
belvoir_0,M22 0AD,149950,Brewer Street,2,13187
belvoir_1,M21 0YA,575000,Hilton Street,5,14965
belvoir_2,M16 8FS,180000,Port Street,2,8079
belvoir_3,M16 0DZ,195000,Hilton Street,2,5726
belvoir_4,M16 0DZ,195000,Hilton Street,2,5726
belvoir_14,M16 0DZ,200000,Tariff Street,2,5726
belvoir_29,M16 0DZ,210000,Tariff Street,2,5726
belvoir_30,M16 0DZ,210000,Port Street,2,5726
belvoir_31,M16 0DZ,210000,Brewer Street,2,5726
belvoir_5,M16 0BU,465000,Tariff Street,4,5726
belvoir_7,M13 0RH,100000,Tariff Street,2,1470
belvoir_8,M13 0RH,380825,Dale Street,3,1470
belvoir_19,M13 0RH,169950,Dale Street,2,1470
belvoir_55,M13 0RH,775,Dale Street,2,1470
belvoir_62,M13 0RH,895,"34 Navigation Street,",2,1470
belvoir_69,M13 0RH,3500,Piccadilly,3,1470
belvoir_86,M13 0RH,1395,"Avro House,						Navigation Street,",3,1470
belvoir_94,M13 0RH,850,"Piccadilly, Ducie Street",2,1470
belvoir_121,M13 0RH,950,Ducie Street,2,1470
belvoir_127,M13 0RH,725,Ducie Street,2,1470
belvoir_147,M13 0RH,675,Laystall Street,3,1470
belvoir_170,M13 0RH,85000,Ducie Street,2,1470
belvoir_171,M13 0RH,492500,Ducie Street,5,1470
belvoir_172,M13 0RH,895,Sparkle Street,3,1470
belvoir_173,M13 0RH,nan,Sheffield Street,3,1470
belvoir_174,M13 0RH,175000,Chapeltown Street,2,1470
belvoir_175,M13 0RH,249950,"Navigation Street,",3,1470
belvoir_176,M13 0RH,500,Adair Street,1,1470
belvoir_177,M13 0RH,170000,"Helmet Street, Fairfield Street",2,1470
belvoir_178,M13 0RH,239950,Helmet Street,2,1470
belvoir_179,M13 0RH,nan,"Piccadilly, Dale Street",2,1470
