provenance,postcode,price,street_name,bedroom_number,crimerank
belvoir_61,M13 0RH,750,"34 Navigation Street,",1,1470
belvoir_195,M13 0RH,495,Princess Street,2,1470
oxlets_41,OX29 7RA,875,Northmoor Road,3,25409
rightmove_20,M28 2NG,1191,Sidney Street,5,
rightmove_35,M25 0BL,925000,Harley Street,4,
rightmove_32,M7 4JJ,950000,Louisa Street,5,
rightmove_36,M7 4GZ,950000,Harley Street,6,
cotswoldlettings_3,GL56 0XU,1395,Fosseway,5,
cotswoldlettings_26,GL56 0XU,1395,Fosseway,5,
jpknight_4,OX11 9EG,1295,Stuart Street,1920,30917
jpknight_5,OX11 9EG,680000,Stuart Street,5,30917
onthemarket_0,M3 1DY,179950,Houldsworth Street,2,1467
onthemarket_1,M3 1NN,225000,Tempus Tower,2,1467
onthemarket_2,M3 4BB,234950,Dale Street,2,23205
onthemarket_3,M1 5ND,462500,Faraday Street,2,4783
onthemarket_4,M1 5WG,289950,The Hacienda,2,4783
onthemarket_5,M1 5NG,250000,W3,2,4783
onthemarket_6,M4 1HP,329950,Icon 25,3,34
belvoir_158,M8 4NA,6,"Sourh Lodge,						Crumpsall,",2,176
onthemarket_7,M1 5DD,462500,W3 Building,2,4783
agent_14,M1 5BY,895,Granby Row,1,2461
onthemarket_8,M1 5BY,182500,MacIntosh Mills,2,2461
onthemarket_9,M1 5NP,197500,Lever Street,2,2461
onthemarket_10,M15 4TL,182500,The Nile,2,3182
onthemarket_11,M1 2JN,175000,Houldsworth Street,2,1245
onthemarket_12,M3 3AT,399950,Leftbank,2,9783
onthemarket_13,M3 3AA,285000,2,2,9783
onthemarket_14,M3 3HF,209950,Leftbank,1,9783
onthemarket_15,M1 7DP,13000,Parking Space,0,2892
onthemarket_16,M3 4JJ,165000,Bradley Street,2,23205
onthemarket_17,M15 4QE,182500,The Nile,2,796
onthemarket_18,M1 2JQ,185000,Hilton Street,2,1245
zoopla_6,M4 5BS,180000,Whitworth Street East,2,1245
onthemarket_19,M3 4AN,193500,Rossetti Place,2,23205
onthemarket_20,M3 4AP,153000,Newton Street,1,23205
onthemarket_21,M3 4NJ,179500,Newton Street,2,796
oxlets_26,OX28 5FX,895,Neenton Square,3,30253
onthemarket_22,M1 3DA,145000,Newton Street,1,708
onthemarket_23,M4 1PE,129950,City Lofts,1,9783
onthemarket_24,M1 5QJ,92500,Quadrangle,1,209
onthemarket_25,M1 7AB,127950,Velvet Court,1,209
oxlets_38,OX28 6DE,895,Patey Street,2,19066
onthemarket_26,M1 7BD,123999,Stevenson Square,1,2461
onthemarket_27,M1 1FT,125000,The Wentwood,1,708
onthemarket_28,M4 1ED,159950,Icon 25,2,9783
onthemarket_29,M4 1HQ,164950,Icon 25,2,34
onthemarket_30,M4 1FS,174950,Icon 25,2,753
onthemarket_31,M3 4EP,1350,Great Northern Tower,2,4783
rightmove_11,M3 4EP,nan,"Great Northern Tower 20th Floor, Central, Manchester",3,4783
onthemarket_32,M3 4EH,1400,Great Northern Tower,2,4783
onthemarket_33,M1 5BD,1600,Dale Street,2,4783
onthemarket_34,M1 5WQ,2250,Whitworth House,3,12168
onthemarket_36,M3 2BW,1650,Beetham Tower,2,9783
rightmove_93,M3 2BW,995,Ashton Old Road,2,9783
onthemarket_37,M3 4LY,1395,Beetham Tower,2,15184
onthemarket_38,M3 5NA,1495,The Edge,2,
belvoir_155,M9 8NW,500,Whitworth Street West,2,3074
onthemarket_39,M1 3DB,1395,The Hub,2,708
onthemarket_40,M3 4NA,20000,Parking Spaces,2,15184
onthemarket_41,M2 4WU,2850,Hilton Street,2,9783
onthemarket_42,M2 4LQ,2200,Oldham Street,2,9783
onthemarket_43,M3 3BZ,1795,Leftbank,2,9783
onthemarket_44,M8 0LA,1225,Jewel House,1,1589
rightmove_1,M8 8US,3000,"Holborn Avenue, Manchester",nan,1589
onthemarket_45,M1 2WH,240000,Quantum,3,7263
jpknight_50,OX10 0LG,430000,Folkestone Road West,4,25710
onthemarket_46,M3 1PJ,134950,Tempus Tower,1,1467
onthemarket_47,M3 4LP,1595,Great Northern Tower,2,4783
rightmove_5,M3 4LP,nan,"Great Northern Tower 20th Floor, Central, Manchester",3,4783
onthemarket_48,M3 4EF,1400,Great Northern Tower,2,4783
onthemarket_49,M3 1NG,1300,Tempus Tower,3,1467
belvoir_0,M22 0AD,149950,Piccadilly,2,13187
belvoir_1,M21 0YA,575000,Piccadilly,5,14965
belvoir_2,M16 8FS,180000,Chapeltown Street,2,8079
belvoir_3,M16 0DZ,195000,Jutland Street,2,5726
oxlets_39,OX29 7RA,875,Tallis Street,3,25409
belvoir_4,M16 0DZ,195000,Chapeltown Street,2,5726
belvoir_5,M16 0BU,465000,Hilton Street,4,5726
belvoir_6,M16 9NH,240000,Chapeltown Street,4,
belvoir_7,M13 0RH,100000,Piccadilly,2,1470
belvoir_8,M13 0RH,380825,Piccadilly,3,1470
belvoir_9,M21 0AU,425000,Piccadilly,3,10595
belvoir_10,M21 8DN,385000,Ducie Street,3,4966
belvoir_11,M21 8DN,375000,Ducie Street,3,4966
belvoir_12,M22 4JZ,125000,Newton Street,2,4209
belvoir_13,M15 6AZ,147500,Brewer Street,2,1755
belvoir_14,M16 0DZ,200000,Hilton Street,2,5726
belvoir_15,M9 7HQ,112000,"Freshfields,
						Spindletree Ave,",2,11291
belvoir_16,M1 5WQ,259995,Hilton Street,2,12168
belvoir_157,M1 5WQ,nan," More Landlords Required!!!!,",183,12168
belvoir_17,M9 7JA,125000,Hilton Street,2,16455
belvoir_18,M21 7WH,110000,"Maitland Avenue,
						Chorlton,",2,5107
belvoir_19,M13 0RH,169950,Tariff Street,2,1470
belvoir_20,M4 1PE,395000,Port Street,2,9783
belvoir_21,M43 7SP,79000,"Holly Bank,",2,
belvoir_22,M4 4BJ,140000,Tariff Street,2,753
belvoir_124,M4 4BG,600,"Strong,						Simpson Street,",1,753
belvoir_23,M6 6LS,48500,Tariff Street,1,
belvoir_24,M4 4TG,86000,Dale Street,182,12320
belvoir_25,M16 8HA,675,Dale Street,2,14965
belvoir_26,M1 6HR,115000,Dale Street,1,708
belvoir_28,M15 4QG,265000,Dale Street,2,15184
belvoir_29,M16 0DZ,210000,Piccadilly,2,5726
belvoir_31,M16 0DZ,210000,"Piccadilly, Ducie Street",2,5726
belvoir_30,M16 0DZ,210000,Piccadilly,2,5726
belvoir_32,M35 0AX,79500,Ducie Street,2,
agent_7,M50 2BA,178500,"Media City UK, Salford, M50 2BA",2,
belvoir_33,M5 3WJ,99950,Ducie Street,2,
belvoir_34,M14 5BB,585,Laystall Street,1,5904
belvoir_156,M45 7ET,550,Whitworth Street West,3,
belvoir_35,M5 3NB,110000,Ducie Street,2,
onthemarket_35,M2 4AD,125000,Little Lever Street,1,9783
belvoir_36,M4 4BZ,125000,Ducie Street,2,12320
belvoir_37,M15 4TD,160000,Sparkle Street,2,12168
belvoir_38,M19 2LZ,995,Sheffield Street,3,6941
oxlets_40,OX28 6GA,695,Northmoor Road,2,7389
belvoir_39,M6 7DZ,695,"Chaseley Field Mansions,						21 Chasley Road,",1,
belvoir_40,M9 8QB,725,Great Ancoats Street,3,4731
belvoir_41,M21 9JN,825,Adair Street,2,14724
belvoir_42,M4 1PN,860,"Helmet Street, Fairfield Street",2,34
belvoir_43,M35 0DF,550,Helmet Street,4,
belvoir_45,M9 8AS,550,"Hilbury Avenue,",2,2156
belvoir_46,M4 4FQ,950,Piccadilly,2,17255
belvoir_47,M18 7TP,650,Baring Street,3,6408
oxlets_19,OX28 3SY,725,Hyde Road,2,18904
belvoir_48,M4 6AH,950,Fairfield Street,2,733
belvoir_49,M9 8DR,395,"Old School Court,						Blackley,",1,3074
belvoir_50,M6 7DZ,975,Ducie Street,2,
belvoir_51,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_52,M9 8QA,600,Store Street,2,3074
belvoir_53,M21 0RD,1400,Chapeltown Street,4,2417
rightmove_8,M20 6XD,1400,Samuel Ogden Street,6,9389
belvoir_54,M8 4NA,500,"Longacre Street, Churchgate Buildings",2,176
belvoir_55,M13 0RH,775,Longacre Street,2,1470
belvoir_56,M9 7HQ,575,"Spindletree Avenue,",2,11291
belvoir_57,M13 9DP,1300,Heyrod Street,4,12632
belvoir_58,M4 4BW,750,Portugal Street East,2,12320
belvoir_59,M16 8AU,895,"Railton Avenue,						Whalley Range,",3,4203
belvoir_60,M14 5BB,795,Whitworth Street,3,5904
belvoir_63,M4 4BW,775,Aytoun Street,2,12320
belvoir_64,M21 7BD,1150,London Road,4,5044
belvoir_65,M1 3DA,1200,Piccadilly,2,708
rightmove_63,M22 8UA,495,Ashton Old Road,2,4209
belvoir_67,M14 5RH,925,Aytoun Street,3,2823
rightmove_66,M13 0JR,575,Ashton Old Road,1,2823
belvoir_68,M1 5DD,2700,Aytoun Street,2,4783
belvoir_154,M9 8NW,550,Whitworth Street West,3,3074
belvoir_62,M13 0RH,895,"34 Navigation Street,",2,1470
belvoir_69,M13 0RH,3500,Minshull Street,3,1470
belvoir_70,M14 5BB,650,Minshull Street,2,5904
belvoir_71,M15 5AX,775,Minshull Street,2,3277
belvoir_72,M1 5BD,1200,Chorlton Street,2,4783
belvoir_73,M1 6BD,1100,Chorlton Street,2,2461
rightmove_92,M1 6LT,800,Ashton Old Road,1,2461
belvoir_74,M1 5QE,1200,Minshull Street,2,209
oxlets_16,OX28 6DE,895,Woodford Mill,2,19066
oxlets_49,OX28 5FX,895,Hannah Street,3,30253
belvoir_75,M4 6JW,950,Chorlton Street,2,733
rightmove_111,M16 9AE,1200,Stan Jolly Walk,3,
belvoir_76,M8 4FL,725,Granby Row,3,6320
belvoir_77,M4 4AJ,950,Fairfield Street,2,17255
belvoir_78,M20 4NE,585,Whitworth Street,1,1798
belvoir_79,M8 8YE,600,Canal Street,2,3501
belvoir_80,M15 4QU,0,Richmond Street,3,12168
belvoir_165,M15 4QU,950,Lower Mosley Street,2,12168
belvoir_81,M8 8BT,600,Portland Street,2,3501
belvoir_82,M4 6JW,950,Bloom Street,2,733
belvoir_83,M8 8BJ,600,Chorlton Street,2,2840
zoopla_11,M1 3GY,140000,"Stonebridge House, Cobourg Street, Manchester M1",1,2892
belvoir_84,M15 4LG,775,Chorlton Street,1,23205
belvoir_85,M13 0NW,675,Bloom Street,2,957
belvoir_87,M4 7AJ,950,Portland Street,2,3998
belvoir_88,M15 6GH,795,"St Philips Court,						Loxford Street, Hulme,",2,6906
belvoir_89,M15 5JP,750,Bloom Street,2,3277
belvoir_90,M5 3WJ,600,Sackville Street,2,
belvoir_91,M15 6BN,375,"Cavendish Hall,						Cavendish Street,",1,8522
belvoir_92,M1 5EB,1400,Sackville Street,2,2461
belvoir_93,M15 5JR,795,"Sackville Street, Altrincham Street",2,3277
belvoir_94,M13 0RH,850,Altrincham Street,2,1470
belvoir_95,M4 4TJ,775,Whitworth Street,2,12320
belvoir_96,M15 6AZ,850,Whitworth Street,2,1755
belvoir_97,M15 4TD,1100,Brazil Street,2,12168
belvoir_98,M15 4TA,1100,Brazil Street,2,12168
belvoir_99,M14 5BB,650,Sackville Street,2,5904
belvoir_100,M15 5QH,1400,Richmond Street,4,4022
belvoir_102,M15 5JS,795,Sackville Street,2,3277
belvoir_103,M40 9DH,725,Whitworth Street,3,4052
rightmove_91,M14 7JJ,850,Ashton Old Road,4,1969
belvoir_104,M46 0BW,550,George Street,2,
belvoir_105,M15 4QY,1150,York Street,2,796
belvoir_106,M15 4QX,1275,Piccadilly,2,12168
belvoir_107,M9 7GH,575,Charlotte Street,2,16455
belvoir_108,M4 5BW,1,Faulkner Street,3,7263
rightmove_57,M4 4DS,925,Ashton Old Road,2,12320
belvoir_109,M15 4QX,1550,Pine Street,3,12168
belvoir_110,M11 1BE,795,Charlotte Street,2,3219
belvoir_111,M1 5ED,2,Faulkner Street,2,2461
belvoir_112,M9 8NT,675,"Oakshaw Close,						Blackley,",3,3074
belvoir_113,M14 5BB,675,Nicholas Street,2,5904
belvoir_114,M45 7EP,675,Charlotte Street,3,
belvoir_115,M15 4TB,795,Charlotte Street,2,12168
belvoir_116,M15 4QX,860,Charlotte Street,2,12168
belvoir_117,M15 4QW,795,Charlotte Street,1,796
belvoir_118,M18 8GN,550,Faulkner Street,3,4379
belvoir_119,M4 4BW,775,Faulkner Street,2,12320
belvoir_167,M21 0SD,nan," More Landlords Required!!!!,",184,6927
belvoir_120,M5 5JJ,300,Charlotte Street,1,
belvoir_121,M13 0RH,950,Portland Street,2,1470
belvoir_173,M13 0RH,nan,Whitworth Street West,3,1470
belvoir_122,M8 5DZ,500,George Street,2,332
belvoir_123,M15 4QH,860,York Street,1,796
belvoir_101,M4 4AD,950,"Masson Place,						Hornbean Avenue ,",1,9684
belvoir_125,M4 4AD,775,George Street,2,9684
belvoir_126,M4 4BZ,775,Princess Street,2,12320
belvoir_127,M13 0RH,725,Nicholas Street,2,1470
belvoir_128,M4 6BU,575,"Lampwick Lane,",1,3998
belvoir_129,M9 8QE,550,Princess Street,2,4731
belvoir_130,M45 7FW,675,York Street,3,
belvoir_131,M16 9LU,675,Princess Street,2,
belvoir_132,M9 8QD,500,Dickinson Street,2,4731
belvoir_153,M9 8QB,500,Whitworth Street West,2,4731
jpknight_42,OX10 7PG,449950,Mount Farm Cottage,22,20506
belvoir_133,M11 3TW,775,Princess Street,2,1174
belvoir_134,M40 5LH,550,"Alloway Walk,",3,704
belvoir_135,M9 8QB,500,Oxford Street,2,4731
belvoir_136,M21 0SF,585,Portland Street,1,6927
oxlets_24,OX28 1EH,840,Gardner Street,2,31737
belvoir_137,M8 5EA,3,Portland Street,2,332
belvoir_138,M9 8QE,600,Portland Street,2,4731
belvoir_139,M9 8QB,500,Portland Street,2,4731
belvoir_140,M9 8QB,500,Portland Street,2,4731
belvoir_141,M8 4JW,4,"Sharnbrook Walk,						Crumpsall,",1,10623
belvoir_142,M15 5JP,795,Oxford Street,2,3277
belvoir_144,M45 7HA,675,"Phillips Place,						Whitefield,",3,
belvoir_146,M45 7SZ,500,Whitworth Street,2,
belvoir_145,M9 8NJ,500,Whitworth Street West,2,3074
belvoir_148,M9 8QB,500,Whitworth Street,2,4731
belvoir_149,M4 4BW,850,River Street,2,12320
rightmove_53,M4 4TG,850,Ashton Old Road,2,12320
belvoir_150,M15 5JP,795,Hulme Street,2,3277
